id_usuario,duracion_recorrido,nombre_estacion_origen,nombre_estacion_destino
130274,369,INSTITUTO  LELOIR,YATAY
203223,1458,Matienzo Y Arce,Ecuador
490815,5928,POSADAS,Villa Urquiza
357428,1938,F.J.Santamaria de Oro,Facultad de Medicina
335886,630,ESTADOS UNIDOS Y BOEDO,Pasco
658695,2839,Carlos Gardel,San Jose de Flores
184807,588,VIRREY CEVALLOS,MINISTERIO DE EDUCACION
204541,2486,Villa Urquiza,Armenia
169260,2311,JUNCAL,JUNCAL
156158,510,LIMA,Constitución
372341,7004,Club Ciudad de Buenos Aires,Club Ciudad de Buenos Aires
426859,1116,HOSPITAL ITALIANO,ESTADOS UNIDOS Y BOEDO
345591,786,PARQUE DEL BAJO,BRASIL
659169,1800,SIMON BOLIVAR,Parque Centenario
518751,1225,Plaza J.J. Paso,SAN MIGUEL DE GARICOITS
141288,262,Plaza Alemania,UGARTECHE
200144,591,Parque Centenario,GAINZA
374504,983,Acuña de Figueroa,ESTADOS UNIDOS Y BOEDO
257453,522,Matienzo Y Arce,BARRANCAS DE BELGRANO
175552,832,GARCIA DEL RIO,PLAZA NORUEGA
248693,2353,Hospital Rivadavia,Matienzo Y Arce
470011,1634,Plaza Francisco Ramirez,Fleni
624410,680,DOBLAS,PRIMERA JUNTA
367738,1722,Ayacucho,Donato Alvarez
219379,779,Ecoparque,Parque Las Heras
539929,959,SAAVEDRA,Quintino Bocayuva
528926,789,Malabia,Malabia
190687,163,Ecuador,HOSPITAL ALEMÁN
648800,3113,Plaza Gurruchaga,Plaza Gurruchaga
591916,2431,Cabello,Donato Alvarez
227771,1678,Hospital Rivadavia,Velasco
497752,1978,Billinghurst,Godoy Cruz y Libertador
141055,965,Salcedo,ESTADOS UNIDOS Y BOEDO
227771,950,ONCE II,INSTITUTO  LELOIR
317972,1228,Venancio Flores,SIMON BOLIVAR
237758,1534,INSTITUTO  LELOIR,ARENALES Y AGUERO
507827,1864,Plaza Irlanda,F.J.Santamaria de Oro
229025,1391,Salcedo,Chile
214496,2337,GARCIA DEL RIO,MALBA
494247,1682,PRIMERA JUNTA,CARLOS CALVO
454774,1015,UGARTECHE,Acuña de Figueroa
273492,2983,Donato Alvarez,Villa Urquiza
568071,1136,Plaza Italia,Parque Las Heras
554609,1783,Pasteur,Facultad de Medicina
416892,1538,Rivadavia y 9 de Julio,CENTRO DE EXPOSICIONES
260273,185,ESMERALDA,Reconquista
560110,217,Humahuaca,Acuña de Figueroa
249266,1167,PLAZOLETA CELEDONIO FLORES,Donato Alvarez
483615,2871,Plaza Zapiola,Plaza Marcos Sastre
184820,1043,ONCE II,Cabello
193914,662,UADE,Plaza Primero de Mayo
131693,764,Parque Centenario,DON BOSCO
144600,451,ONCE II,Plaza Primero de Mayo
140563,934,F.J.Santamaria de Oro,INSTITUTO  LELOIR
573921,194,ONCE II,LARREA Y BARTOLOMÉ MITRE
598353,1364,F.J.Santamaria de Oro,Ecuador
638980,424,Plaza Bruno Giordano,Puan
222916,1121,Cementerio de Recoleta,Peña
368842,404,MALBA,FACULTAD DE DERECHO
524378,703,San Jose de Flores,PRIMERA JUNTA
576033,445,Plazoleta Colombia,Ruy Díaz de Guzmán
293581,928,Acevedo,PERÓN Y ACUÑA DE FIGUEROA
287104,812,SAN MIGUEL DE GARICOITS,Plaza Zapiola
178655,330,FACULTAD DE DERECHO,FACULTAD DE DERECHO
587767,55,General Urquiza,General Urquiza
354721,1344,MACACHA GUEMES,Congreso
338889,1085,Galicia,VILLARROEL
271933,724,DOBLAS,RIGLOS
482716,1212,Plaza Palermo Viejo,MINISTERIO DE EDUCACION
432161,1328,MALBA,Guatemala
403609,1795,ESPINOSA,Avelino Diaz
533702,2587,Coronel Diaz,FACULTAD DE DERECHO
301758,1033,Armenia,Velasco
194320,333,HOSPITAL DE CLÍNICAS,HOSPITAL ALEMÁN
201508,1303,MINISTERIO DE EDUCACION,RIOBAMBA
170237,1656,Cementerio de Recoleta,Pacifico
143597,1043,CORRIENTES,Constitución
344049,1890,José Marmol,Pasteur
139499,444,MEXICO,CARLOS CALVO
394428,2179,Ministerio de Justicia y Seguridad,Ministerio de Justicia y Seguridad
477353,418,ALSINA,Constitución
670246,317,Plaza República de Ecuador,Plaza República de Ecuador
670923,899,Parque Centenario,SAN MARTIN
187238,885,Parque Las Heras,PUEYRREDÓN
494678,12349,ESPINOSA,ESPINOSA
667456,609,Plaza Primero de Mayo,SAAVEDRA
616017,8899,GAINZA,PLAZA 24 DE SEPTIEMBRE
182017,874,Plaza Gurruchaga,Plaza Bruno Giordano
197202,2932,RIGLOS,Jose Maria Moreno
520529,1660,Villa Urquiza,BARRANCAS DE BELGRANO
473496,379,Catedral,MACACHA GUEMES
183435,1199,GÚZMAN,Plaza Bruno Giordano
131746,1453,Godoy Cruz y Libertador,Plaza República de Ecuador
257614,718,Ruy Díaz de Guzmán,JULIETA LANTERI
156980,912,MONROE,TRONADOR Y GARCÍA DEL RÍO
671502,252,Matienzo Y Arce,PLAZA BOLIVIA
572146,406,PLAZA NORUEGA,Fleni
479326,1604,PLAZA ALBERTI,Armenia
131406,1440,GÚZMAN,ARAOZ
496804,1350,Plaza Guemes,Ecoparque
411712,538,Coronel Diaz,Carlos Gardel
269144,546,ARENALES Y AGUERO,RIOBAMBA
155721,1633,MANZANA 66,Peña
447934,881,RIOBAMBA,Plaza Roma
464768,853,Reconquista,RIOBAMBA
616837,1438,Acuña de Figueroa,VIRREY CEVALLOS
382270,201,PLAZA ALBERTI,MONTAÑESES
547776,5975,General Urquiza,9 de Julio
542288,773,GÚZMAN,Pacifico
668769,1462,Humahuaca,Velasco
424597,5199,Plaza Bruno Giordano,Parque Centenario
282004,4183,Parque José Evaristo Uriburu,Parque José Evaristo Uriburu
