id_usuario,edad_usuario
108635,26
129952,30
129964,25
129965,38
129966,81
129968,33
129971,21
129972,22
129974,28
129977,30
129978,64
129983,28
129987,35
129997,51
130013,27
130020,35
130023,36
130025,27
130033,29
130034,26
130038,31
130051,25
130050,33
130056,43
130059,26
130060,53
130068,25
130076,27
130086,40
130088,53
130089,31
130090,46
130097,37
130111,34
130116,20
130117,28
130122,32
130121,39
130126,28
130124,59
130130,22
130129,31
130149,31
130151,24
130154,61
130156,30
130158,37
130161,23
130167,25
130166,33
130168,25
130169,31
130170,34
130171,35
130174,34
130173,59
130181,23
130182,46
130185,26
130187,29
130188,43
130193,20
130194,34
130195,38
130200,34
130206,40
130205,40
130209,31
130211,34
130216,38
130218,55
130221,29
130225,35
130229,26
130230,27
130233,38
130239,30
130249,25
130251,31
130254,20
130252,28
130255,34
130259,26
130262,25
130260,27
130266,30
130269,73
130274,27
130281,29
130288,36
130292,51
130298,32
130304,21
130302,33
130312,22
130325,62
130327,29
130329,32
130334,37
130360,31
130364,28
130370,32
130371,35
130375,41
130385,25
130387,28
130386,28
130394,31
130400,34
130401,40
130402,37
130406,52
130407,32
130416,28
130418,40
130422,26
130424,26
130425,47
130430,36
130431,41
130432,46
130440,27
130441,28
130449,25
130454,64
130458,31
130459,26
130462,23
130464,26
130465,28
130466,24
130471,32
130478,32
130479,38
130482,47
130485,22
130486,47
130488,29
130492,23
130498,33
130499,57
130504,25
130506,37
130505,41
130510,33
130512,38
130515,27
130521,27
130520,27
130525,30
130529,49
130536,27
130537,29
130538,33
130546,26
130548,50
130550,25
130555,25
130561,35
130564,52
130568,47
130571,40
130575,31
130584,21
130585,43
130583,54
130589,41
130593,31
130592,55
130601,19
130605,30
130609,23
130608,28
130610,24
130611,29
130620,32
130627,30
130629,29
130632,31
130638,29
130640,28
130646,52
130659,33
130662,67
130669,54
130676,26
130675,28
130679,37
130685,26
130686,44
130690,31
130692,25
130695,29
130696,30
130698,26
130702,56
130705,34
130706,35
130708,40
130720,34
130721,25
130725,52
130728,19
130729,22
130735,32
130747,29
130750,29
130755,22
130754,30
130756,51
130761,45
130769,23
130767,31
130770,37
130773,21
130772,26
130771,46
130775,61
130777,36
130783,25
130785,33
130793,42
130798,22
130795,38
130806,28
130807,29
130813,33
130810,58
130822,28
130826,20
130829,64
130833,20
130838,29
130839,25
130849,30
130848,37
130850,31
130851,47
130856,45
130860,33
130867,29
130874,25
130879,62
130882,24
130889,25
130892,26
130894,30
130893,32
130896,31
130903,25
130904,31
130905,26
130909,23
130912,40
130914,29
130915,30
130921,33
130925,55
130930,68
130935,29
130937,39
130940,26
130945,24
130954,54
130961,24
130962,22
130964,30
130983,30
130985,27
130987,62
130989,28
130988,30
130992,28
130991,28
130993,32
130998,41
131003,23
131005,30
131019,31
131016,74
131023,25
131025,19
131030,58
131032,29
131035,38
131043,36
131058,22
131061,23
131064,30
131072,23
131071,43
131075,40
131084,26
131087,44
131095,25
131100,24
131102,35
131112,33
131118,25
131121,31
131124,29
131135,25
131139,24
131152,34
131154,25
131155,25
131164,29
131165,32
131174,52
131177,72
131187,59
131199,70
131202,26
131204,30
131209,32
131210,73
131211,30
131228,43
131234,58
131239,29
131238,31
131246,31
131255,48
131262,32
131264,47
131272,35
131276,25
131283,31
131285,50
131288,51
131294,31
131305,29
131312,34
131313,58
131316,28
131318,51
131322,34
131324,47
131325,27
131326,36
131331,24
131334,25
131342,53
131348,28
131347,31
131356,22
131363,33
131367,27
131368,53
131369,60
131374,28
131375,23
131376,27
131388,43
131406,23
131410,31
131417,41
131418,28
131420,22
131419,26
131426,31
131429,27
131431,37
131436,46
131439,32
131445,36
131451,32
131455,35
131461,26
131468,34
131470,23
131477,22
131478,28
131481,61
131484,50
131487,32
131492,39
131501,48
131502,21
131504,35
131505,25
131513,64
131519,40
131521,53
131527,46
131528,52
131535,30
131538,62
131547,34
131558,30
131564,20
131565,21
131563,50
131577,47
131585,34
131594,35
131595,29
131599,31
131617,46
131622,56
131626,23
131627,21
131633,60
131638,40
131644,25
131643,47
131646,42
131655,28
131664,29
131663,29
131672,28
131681,43
131684,43
131693,43
131704,28
131705,39
131708,37
131710,30
131716,22
131720,42
131719,55
131724,38
131728,26
131729,37
131744,44
131743,61
131745,25
131747,27
